study_id,caso,meccanismo,motivo
GSE233262,C,solo la formulazione dell etichetta cambia,Riscrittura che esplicita il genotipo C9orf72 sui due bracci dove il riferimento aveva tre etichette indistinguibili; contrasto invariato.
GSE233425,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento genotipo costante (""Wild-type, hypoxia"" contro ""Wild-type, normoxia""): perdita netta."
GSE233494,A,lo studio entra o esce dal pooling,"USCITO: nel riferimento 'human IFN-β' vs 'PBS', confronto pulito con veicolo esplicito; nel run nuovo lo studio non compare ne' fra i poolati ne' fra gli scarti."
GSE233732,A,lo studio entra o esce dal pooling,"USCITO: era 'SARS-CoV-2 infected vagus nerve' vs 'Control vagus nerve', appaiato per sede. Perso."
GSE233900,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""CD patient D681"" contro ""Healthy control B206"": caso-controllo regolare (soggetti diversi obbligatori), perdita netta."
GSE234148,C,solo la formulazione dell etichetta cambia,"'Ex vivo human pancreatic islets treated with TSA' contro '... treated with DMSO' ora e la stessa coppia con la dose '(0.5 µM)' nel riferimento: stesso contrasto, cambia solo il dettaglio della dose."
GSE234514,B,altro,"Verificato sul dispatch del riferimento: li' c'erano DUE righe 'MCF-7 PR Palbociclib' vs 'MCF-7 WT Vehicle', cioe' linea resistente trattata contro parentale veicolo — difetto leggibile. Ora e' 'MCF-7 PR Palbociclib' vs 'MCF-7 PR Vehicle': il run nuovo corregge un difetto vero del vecchio."
GSE234615,C,cambia la granularita: etichetta piu ricca o piu povera,Nel riferimento 'HCT116 ... EPZ-5676' contro 'Colorectal carcinoma cells ... DMSO' era un nome specifico contro uno generico della stessa cosa; ora entrambe le etichette sono nude. Nessuna delle due e' decidibilmente migliore.
GSE234647,C,l appaiamento del braccio di controllo cambia,"Un confronto ora ('SNU449 Wild-Type Regorafenib'→'SNU449 Wild-Type Naive'), due nel riferimento, dove c'era anche 'Axl KO Regorafenib'→'Axl KO Naive', anch'esso appaiato entro knockout. Il nuovo perde uno strato genetico senza introdurre difetti."
GSE234795,A,lo studio entra o esce dal pooling,"USCITO. Nel riferimento 'Bipolar Disorder Case Pool' contro 'Healthy Control', caso-controllo leggibile: perdita per omissione, il gruppo scende da 4 a 3 studi."
GSE235031,C,solo la formulazione dell etichetta cambia,"Stesso contrasto, sola riscrittura ('HeLa Cells treated with JQ1 (1 uM)' vs 'HeLa Cells in drug-free medium')."
GSE235210,A,l appaiamento del braccio di controllo cambia,"Nel riferimento era 'ZIKV-infected hSeC (12h) - replicate' vs 'Mock-infected hSeC (12h)', appaiato per materiale E per tempo; ora non e' poolato in nessuna meta-analisi."
GSE235401,A,lo studio entra o esce dal pooling,"USCITO: nel riferimento 'SNU-1 Palbociclib' vs 'SNU-1 none (control)', appaiato; ora 4 gruppi tutti scartati per n_min."
GSE235549,C,lo studio entra o esce dal pooling,"ENTRATO con ""Cisplatin 0 days"" e ""Cisplatin 5 days"" contro lo stesso ""Vehicle"" privo di tempo. L'etichetta non dice se ""0 days"" sia un pre-trattamento ne' a che tempo stia il veicolo: non basta per stabilire chi ha ragione."
GSE235681,B,l appaiamento del braccio di controllo cambia,"Da 1 a 2 confronti: entra ""GM12878 cells treated with cisplatin"" vs ""GM12878 cells untreated"", appaiato sulla stessa linea."
GSE235704,B,lo studio entra o esce dal pooling,"ENTRATO con ""NCI-H526 treated with GSK126"" contro ""NCI-H526 treated with DMSO"": coppia pulita che il riferimento non poolava."
GSE236117,B,lo studio cambia gruppo / entita,"SPOSTATO. Nel riferimento lo stesso identico contrasto stava sotto la chiave non risolta STR:f_nucleatum; ora sta sotto NCBITaxon:851, l'identificativo tassonomico dell'entita' dichiarata, e si unisce agli altri due studi dello stesso patogeno invece di restare frammentato su una stringa grezza. Il nuovo azzecca dove il vecchio frammentava."
GSE236122,C,l appaiamento del braccio di controllo cambia,Genotipo e sede appaiati in entrambe; cambia solo la forma dell'etichetta.
GSE236168,A,lo studio entra o esce dal pooling,"Entrato ora e porta l'unico difetto del gruppo: il riferimento non poolava questo studio, il nuovo pool­a un confronto in combinazione ('JQ1 + compound 3b ...' contro 'DMSO (48h)')."
GSE236441,C,solo la formulazione dell etichetta cambia,Sola riformulazione: 'Canonical MED19-LNCaP + R1881' vs '... + Vehicle (ETOH)'. Stesso contrasto.
GSE236896,C,l appaiamento del braccio di controllo cambia,"Le due coppie sono identiche a meno dell'ordine delle parole (""passage 4-5"" contro ""4-5 passages""): tempo e passaggio restano appaiati sui due bracci in entrambe le esecuzioni."
GSE237052,C,lo studio entra o esce dal pooling,ENTRATO. 'Keratinocytes exposed to Fusobacterium nucleatum' vs 'Untreated Keratinocytes' e' appaiato e difendibile; senza etichetta nel riferimento la scelta non e' decidibile.
GSE237059,A,lo studio entra o esce dal pooling,"USCITO: era 'SARS-CoV-2 WA1 (non-sheared)' vs 'Uninfected (non-sheared)', stessa condizione meccanica sui due bracci. Perso."
GSE237177,C,l appaiamento del braccio di controllo cambia,"Nel riferimento la stessa coppia era 'CFPAC1 treated with SCH772984 1uM x8weeks' contro 'CFPAC1 treated with DMSO', con la durata del veicolo non stampata: il controllo di fondo e' plausibilmente lo stesso. Il run nuovo aggiunge quattro coppie ben appaiate a una settimana e rende leggibile un disallineamento che c'era gia'; nessuna delle due assegnazioni e' migliore dell'altra."
GSE237413,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore, che dava A. Ne' l'etichetta vecchia (""Lapatinib-treated Senescent SKBR3"" contro un controllo che tace sullo stato) ne' la nuova (""Lapatinib-treated SKBR3 (5 replicates)"") mostrano un mismatch dichiarato: la senescenza puo' essere l'effetto del farmaco. Il nuovo perde informazione, ma non c'e' un difetto provato che abbia nascosto."
GSE237803,C,l appaiamento del braccio di controllo cambia,"Le due coppie restano appaiate sul genotipo (AR KO, DAXX KO); il nuovo abbrevia i nomi delle linee."
GSE237845,A,lo studio entra o esce dal pooling,"USCITO: portava `TWEAK (2 reps)` → `Vehicle`, senza difetto leggibile; ora non e' poolato in nessuna meta-analisi."
GSE239585,C,solo la formulazione dell etichetta cambia,"Stessi due contrasti, con SARS-CoV-2 su entrambi i bracci nella coppia infetta: sola riscrittura."
GSE239666,C,l appaiamento del braccio di controllo cambia,"Due confronti in entrambe; il riferimento marcava '(another agent ID)'/'(different agent ID)', il nuovo no. In tutte e due le esecuzioni l'etichetta dice crizotinib su entrambe le righe e il materiale e' appaiato ('Primary tissue ... crizotinib' vs 'Primary tissue ... DMSO'): l'etichetta non permette di preferire una delle due letture."
GSE239726,C,altro,'Influenza A (H3N2) infected' vs 'Mock treated' contro 'Mock infected'. Sola grafia del controllo.
GSE240167,A,lo studio entra o esce dal pooling,"USCITO. Perde confronti appaiati anche nel tempo: 'LNCaP + R1881 (1 nM, 72h)' contro 'LNCaP + DMSO (0.1%, 72h)'."
GSE240364,A,lo studio entra o esce dal pooling,"USCITO. Perde 'WT_HOXB13_R1881' contro 'WT_HOXB13_vehicle_vehicle' e 'X285K_R1881' contro 'X285K_vehicle_vehicle', entrambi appaiati sul genotipo."
GSE240567,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento cinque confronti caso-controllo ('Asthmatic (Age 43, F, Nigeria)', '(Age 55, F, Brazil)', ecc.) contro l'unico 'Control (Age 15, M)': in un caso-controllo i soggetti diversi sono il disegno (regola 3), quindi nessun difetto e' leggibile e l'uscita e' perdita di potenza. Riserva dichiarata: tutti i casi contro un solo controllo e' un appaiamento debole, ma debole non e' difettoso."
GSE240898,A,altro,"Il riferimento aveva due coppie (A549 e H1944, ciascuna contro le proprie ""naive cells""); ora resta solo A549: perdita di un confronto della stessa qualita'."
GSE241554,C,solo la formulazione dell etichetta cambia,"Riscrittura ('LPS-treated' contro 'LPS'), stesso controllo."
GSE241595,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore, che dava A accogliendo il critico A: l'etichetta ""cisplatin"" vs ""control"" e' quella del RIFERIMENTO (""era TRATTATO""); le etichette che il nuovo run gli assegna sotto CHEBI:15738 non sono in questo materiale, quindi non si puo' dire quale collocazione sia giusta."
GSE241942,C,il tempo o la dose vengono dichiarati o persi,"Correggo il lettore accogliendo il critico A: ""Fulvestrant (no duration)"" vs ""Vehicle control"" e' l'etichetta del RIFERIMENTO; sotto CHEBI:16469 le etichette del nuovo run non sono stampate, quindi l'etichetta non permette di scegliere fra le due collocazioni."
GSE241943,B,lo studio entra o esce dal pooling,"ENTRATO: prima non poolato, ora 'Palbociclib 25mg/kg' vs 'Vehicle', appaiato per quanto l'etichetta mostra."
GSE242333,A,lo studio entra o esce dal pooling,USCITO: 'Huh7 ... sorafenib' vs 'Huh7 ... DMSO' era una coppia pulita; ora non e' poolata.
GSE243230,C,l appaiamento del braccio di controllo cambia,"Il nuovo aggiunge il braccio a 24 ore ('T84 cells treated with IL-22 for 24 hours' contro 'Untreated T84 cells for 24 hours'), appaiato per tempo come quello a 6 ore: solo potenza."
GSE243329,A,lo studio entra o esce dal pooling,"USCITO. Perde 'R1881 treated (replicates)' contro 'Vehicle control', confronto pulito."
GSE243454,A,l appaiamento del braccio di controllo cambia,"Da quattro coppie tutte appaiate (MCF7 e T47D, ciascuna con e senza 'Engineered') a una sola. Tre coppie pulite perse."
GSE243625,C,altro,Due confronti in entrambe con le stesse etichette a meno della parentesi '(unclear perturbation)' che il riferimento aggiungeva al braccio attivo.
GSE244272,C,solo la formulazione dell etichetta cambia,Solo formulazione (`Enzalutamide-treated MDA-MB-453 cells` → `Vehicle-treated ...` contro `MDA-MB-453 + Enzalutamide` → `MDA-MB-453 + Vehicle`): stesso contrasto appaiato.
GSE244305,C,l appaiamento del braccio di controllo cambia,"Il nuovo aggiunge 'ANT1 KO Bleomycin Treated' vs 'ANT1 KO Vehicle Control' accanto al confronto wild-type gia' presente: entrambi appaiati sul genotipo, il nuovo guadagna un confronto pulito."
GSE244484,A,lo studio entra o esce dal pooling,"USCITO: era 'SARS-CoV-2 MOI 1 24h' vs 'mock', nessun difetto leggibile, mentre i gemelli GSE244485/GSE244486 restano dentro. Perso."
GSE244533,C,solo la formulazione dell etichetta cambia,Stesso contrasto con altra grafia ('SKBR3 trastuzumab'→'SKBR3 untreated' contro 'Trastuzumab-treated SKBR3 (2)'→'Untreated SKBR3').
GSE244730,C,cambia la granularita: etichetta piu ricca o piu povera,"Il nuovo specifica la sottolinea resistente su entrambi i bracci (""PC9 GR + Erlotinib"" vs ""PC9 GR + DMSO""), il vecchio scriveva ""PC9 + Erlotinib"" vs ""PC9 + DMSO"". In tutte e due le rese i bracci stanno sulla stessa linea: l'etichetta non dice quale sia fedele."
GSE244754,A,il tempo o la dose vengono dichiarati o persi,"Nel riferimento l'induttore era scritto su ENTRAMBI i lati (""auxin hypoxia"" contro ""auxin normoxia"", ""dox"" contro ""dox""); ora due coppie hanno ""NT"" sul solo controllo. Il nuovo run costruisce un'asimmetria che il vecchio non aveva."
GSE244934,C,solo la formulazione dell etichetta cambia,"""IL-4 stimulated"" vs ""Untreated"" contro ""IL-4 stimulated"" vs ""Unstimulated control"": stesso contrasto, controllo descritto diversamente."
GSE245621,C,altro,"Ora un solo confronto 'PANC-1 TGFbeta' contro 'PANC-1 no treatment'; il riferimento ne aveva due, il secondo con 'proliferating' dichiarato solo sul trattato. Il nuovo insieme e' piu' pulito ma l'etichetta non prova che 'proliferating' fosse una condizione e non lo stato indotto dal trattamento."
GSE245677,B,altro,"Il riferimento poolava 'LPS + BMS treated' vs 'Control (vehicle_only)', cioe' un secondo agente solo nel trattato; ora due coppie pulite (wild-type ed engineered). Difetto rimosso."
GSE245762,C,l appaiamento del braccio di controllo cambia,"Il nuovo run aggiunge ""U3034-MG Memory Hypoxia"" contro ""U3034-MG Normoxia"". L'etichetta non definisce ""Memory"": non si puo' dire se l'aggiunta sia un guadagno o un contrasto diverso, e non basta a farne un difetto (bracci appaiati per linea)."
GSE246045,B,lo studio entra o esce dal pooling,"ENTRATO: entrano due confronti appaiati per paziente ('Patient 19, SAHA' vs 'Patient 19, DMSO' e 'Patient 71, SAHA' vs 'Patient 71, DMSO') che il riferimento non poolava."
GSE246050,C,solo la formulazione dell etichetta cambia,"'OSCC' vs 'Normal Mucosa' contro 'OSCC (case)' vs 'Normal mucosa (control)'. Stesso contrasto, cadono solo le qualifiche fra parentesi."
GSE246340,C,solo la formulazione dell etichetta cambia,"Il nuovo degrada «TNF-α Treated MSCs» / «Negative Control MSCs» a «TNF-α» / «Control»: stesso contrasto, meno informazione."
GSE246391,C,solo la formulazione dell etichetta cambia,"'TGF-beta1 Stimulation' contro 'Control (No Treatment)' ora, 'TGF-beta1 stimulated' contro 'Untreated' nel riferimento: stesso contrasto."
GSE246493,C,altro,"Stessa coppia: ""IL1b Stimulated NDUFA4 KO"" vs ""NDUFA4 KO"" contro ""NDUFA4 KO + IL1b"" vs ""NDUFA4 KO"". Il genotipo resta identico sui due bracci in entrambe le esecuzioni."
GSE246886,C,lo studio cambia gruppo / entita,"SPOSTATO: piu' bracci contro lo stesso «MCF7 + Vehicle (DMSO)». Il riferimento poolava «MCF7 + Rapamycin», il nuovo «MCF7 + Ink128»: due inibitori diversi di mTOR, ciascuno sotto la propria chiave."
GSE247159,C,l appaiamento del braccio di controllo cambia,"Il riferimento aveva due coppie appaiate (linea cellulare e coltura primaria), ora resta solo quella su coltura primaria, comunque appaiata: differenza di copertura."
GSE247237,B,lo studio entra o esce dal pooling,"USCITO, e bene. Il confronto del riferimento era 'macromolecular crowding model + DHACM + TGFβ1' contro 'macromolecular crowding model + basal media': DHACM solo nel trattato."
GSE247275,B,lo studio entra o esce dal pooling,"ENTRATO con ""HPDEC + GSK126 (duplicate)"" contro ""HPDEC + DMSO"": stessa linea, veicolo appaiato."
GSE247389,B,lo studio entra o esce dal pooling,"ENTRATO (gruppo nuovo) con '5-Aza-treated' contro 'DMSO-control', appaiato: il riferimento non poolava questo studio in nessuna meta-analisi. Il guadagno del singolo confronto e' reale; il dubbio sull'entita' e' di gruppo, non di questa assegnazione."
GSE247637,B,l appaiamento del braccio di controllo cambia,"Da 1 a 2 confronti: entra ""EGF (60 min) + NTC-siRNA"" vs ""PBS + NTC-siRNA"", appaiato esattamente come quello a 30 minuti gia' presente."
GSE247777,A,lo studio entra o esce dal pooling,USCITO: 'R5020 60min in 3D culture' vs '3D culture normal media' era appaiata sul sistema di coltura; ora non e' poolata.
GSE248274,B,lo studio entra o esce dal pooling,"ENTRATO: il contrasto e' calcitriolo contro veicolo dentro lo stesso studio, senza difetto leggibile — ma il trattato nomina un paziente e il controllo no, quindi il guadagno va preso col caveat dichiarato."
GSE248485,C,altro,"Stesso caso-controllo, cambiano solo le diciture («IPF patient, no treatment» / «Healthy control» → «IPF patient age 76» / «Healthy donor DK22269_01»)."
GSE248794,C,altro,"'Wild-type, TGF-beta1, 0h' contro 'Wild-type, PBS, 0h' e la stessa coppia scritta '0 hours' nel riferimento: identiche."
GSE249026,C,solo la formulazione dell etichetta cambia,"""A2780 + Cisplatin"" vs ""A2780 + DMSO"" contro ""A2780 + Cisplatin (0.6 uM)"" vs ""A2780 + DMSO (0.5%)"": stesso contrasto, il nuovo perde solo la dose."
GSE249138,A,lo studio entra o esce dal pooling,"USCITO: nel riferimento 'Osimertinib-treated AML patient P1' vs 'Untreated AML patient P1', appaiato sullo STESSO paziente; nel run nuovo lo studio non compare ne' fra i poolati ne' fra gli scarti, cioe' non produce piu' alcun confronto candidato."
GSE249573,C,l appaiamento del braccio di controllo cambia,"Stessi confronti; il nuovo duplica 'MDA-MB-453 monoculture Neratinib' contro 'MDA-MB-453 monoculture DMSO'. Appaiamento invariato, cambia solo quante volte il contrasto e' contato."
GSE249721,A,il tempo o la dose vengono dichiarati o persi,"Dichiaro il limite: anche il riferimento condivideva i controlli fra bracci a tempi diversi (""HCC4006 + erlotinib 21 days"" e ""HCC4006 + erlotinib 24h"" entrambi contro ""HCC4006 + DMSO""), quindi il vecchio non era pulito. Ma il nuovo perde per intero la linea H3255 (""H3255 + erlotinib 24h"" vs ""H3255 + DMSO"", coppia senza difetti leggibili), aggiunge un braccio a 75 giorni sugli stessi due controlli e mette ""no_duration"" contro un controllo etichettato 24h: su questo studio il nuovo sta peggio del vecchio."
GSE250050,A,lo studio entra o esce dal pooling,"USCITO: «Gemcitabine» vs «No treatment» e' un contrasto pulito, ora perso del tutto."
GSE251809,C,lo studio cambia gruppo / entita,"SPOSTATO da CHEBI:84491 (poly(I:C)) a LPS. La riga di confronto e' per STUDIO, non per campione: uno studio su trofoblasti di corion puo' contenere entrambi i PAMP, quindi nessuna delle due assegnazioni e' confutabile dall'etichetta. Si nota comunque la perdita della coppia 'Primary decidual cells + polyIC'."
GSE251861,C,l appaiamento del braccio di controllo cambia,"Le due esecuzioni leggono un composto diverso sugli stessi campioni: oggi ""Staurosporine-treated endothelial cells (umbilical vein)"" vs ""DMSO-treated endothelial cells (umbilical vein)"", nel riferimento ""Endothelial cells treated with SR1 (0.5uM)"" vs ""Endothelial cells treated with DMSO (10,000uM)"" sotto CHEBI:230484. Staurosporina e SR1 non sono la stessa molecola, quindi una delle due letture sbaglia, ma dalle sole etichette non si puo' dire quale (nel vecchio anche il ""DMSO (10,000uM)"" e' una dose implausibile). Entrambi i confronti restano appaiati per cellule."
GSE252002,A,lo studio entra o esce dal pooling,"USCITO verso CHEBI:167670 mentre l'etichetta dice 'ASPC1 + Trametinib' contro 'ASPC1 + DMSO'. Non e' un pannello: e' frammentazione dello stesso farmaco su due chiavi, cioe' potenza persa, non un contrasto sbagliato."
GSE252425,A,lo studio entra o esce dal pooling,USCITO verso nessuna meta-analisi. Nel riferimento 'TGFBeta' contro 'Vehicle': contrasto pulito sull'entita' del gruppo. Perdita.
GSE252575,A,lo studio entra o esce dal pooling,"USCITO: portava `HT1080 cells treated with PMA` → `HT1080 cells treated with Control`, appaiato; ora non e' poolato da nessuna parte."
GSE252576,B,l appaiamento del braccio di controllo cambia,"Il nuovo aggiunge il confronto LNCaP (appaiato) ai due (C42, RV1) gia' presenti nel riferimento."
GSE252600,A,lo studio entra o esce dal pooling,USCITO verso nessuna meta-analisi. Nel riferimento tre confronti puliti e sull'entita' ('Clear cell renal cell carcinoma stage 1/2/3' contro 'Normal kidney tissue'). Contributo corretto perso.
GSE252740,C,l appaiamento del braccio di controllo cambia,"Il riferimento aveva due coppie appaiate per fondo genetico, ora resta solo quella su transgene stabile, comunque appaiata."
GSE253742,A,altro,"Verificato sui campioni: il riferimento aveva UN braccio intero ('Osimertinib-treated lung adenocarcinoma', GSM8027259-62) contro i 4 controlli; ora quegli stessi 4 campioni sono spezzati in due righe da 2 con due etichette diverse ('lung adenocarcinoma Osimertinib' e 'lung Osimertinib') sugli stessi controlli. Il nuovo frammenta un braccio integro e fabbrica una distinzione di materiale che i campioni smentiscono."
GSE254310,C,altro,"'AB1080 FSHD myotubes' vs 'AB1190 healthy myotubes' ora, 'AB1080 myotubes FSHD' vs 'AB1190' prima: stessa coppia di linee, la nuova dichiara in piu' che il controllo e' sano."
GSE254479,C,solo la formulazione dell etichetta cambia,"""EGF alone"" vs ""Starvation control"" contro il precedente ""EGF 9h"" vs lo stesso controllo: stesso contrasto, il nuovo perde la durata e il vecchio non diceva ""alone""."
GSE255071,C,solo la formulazione dell etichetta cambia,"Un confronto in entrambe. Ora lo stato HIV e' dichiarato su entrambi i bracci, nel riferimento su nessuno dei due ('TB Positive' → 'TB Negative'): il riferimento non contraddiceva l'appaiamento, il nuovo e' solo piu' esplicito."
GSE255073,C,l appaiamento del braccio di controllo cambia,"Un confronto ora, tre nel riferimento, dove due avevano il trattato senza stato HIV dichiarato — asimmetria di etichetta, non difetto provabile. Il nuovo tiene il solo confronto esplicitamente appaiato ma perde due strati: entrambe difendibili."
GSE255074,C,l appaiamento del braccio di controllo cambia,"Due confronti ora, tre nel riferimento; il terzo era 'TB Positive, HIV Positive' → 'TB Negative, HIV Positive', anch'esso appaiato per stato HIV e quindi pulito. Il nuovo perde lo strato HIV-positivo senza introdurre difetti."
GSE255300,C,altro,"Stessi tre contrasti (Polyp, Mucosa, HPCEC), ciascuno col proprio DMSO; cambia 'HPCEC Colon' in 'HPCEC'."
GSE255958,A,cambia quali confronti dello studio sopravvivono,"Il riferimento poolava il braccio pulito e completo di dose e tempo ('PC9 Osimertinib 2 uM 48h', GSM8083377-79, vs 'PC9 untreated 0.1% DMSO 48h'). Ora quel braccio e' disperso (il gruppo PC9_Osimertinib plain resta a n=1 e cade per n_min) e al suo posto entrano il braccio VT104 — difettoso — e il braccio 'persister'. Il nuovo sostituisce un contrasto pulito con uno contaminato."
GSE256370,C,solo la formulazione dell etichetta cambia,Sola riformulazione con dose esplicitata: 'VCaP + R1881 10 nM' vs 'VCaP + Ethanol'.
GSE256492,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""Endothelial cells from brain metastasis patients"" contro ""Healthy control endothelial cells"": stesso tipo cellulare, perdita netta, e con essa il gruppo scende a tre studi."
GSE259282,B,lo studio entra o esce dal pooling,"ENTRATO: il run nuovo poola 'Neutrophils treated with Cyclosporine A' vs 'Control neutrophils (non-treated)', contrasto pulito e sull'entita' del gruppo, che nel riferimento non era poolato da nessuna parte."
GSE261086,B,altro,"Nel riferimento c'erano coppie con compartimento discordante (""Crohn's disease colon"" contro ""Normal colon wall"") e trattati che non dichiaravano la malattia (""Inflamed colon mucosa""); ora mucosa va con mucosa, parete con parete, e ogni trattato dichiara ""Crohn's disease""."
GSE261699,B,lo studio entra o esce dal pooling,"ENTRATO con appaiamento pulito su materiale, dose e tempo; resta il caveat delle due voci identiche che riusano gli stessi 2 controlli."
GSE262137,B,altro,"Verificato sui campioni, non solo sull'etichetta: nel riferimento il controllo 'Testicular germ cell tumor cells treated with DMSO' erano CINQUE campioni (GSM8158088/93/94/95/96), cioe' un pool di DMSO piu' largo della linea trattata; ora il controllo e' 'C1 cells treated with DMSO' e sono i DUE campioni della linea (GSM8158095/96). Il nuovo restringe il controllo alla stessa linea del trattato e chiude un disallineamento reale."
GSE262147,A,l appaiamento del braccio di controllo cambia,"Il riferimento poolava la sola biopsia placentare, che e' pulita; il nuovo aggiunge tre bracci di sangue intero appesi tutti allo stesso controllo di otto campioni, e fra questi il braccio postpartum non puo' essere appaiato insieme a quello in gravidanza. Il nuovo introduce il difetto che il vecchio non aveva."
GSE262746,A,altro,"Era in questo gruppo con ""Radiation"" vs ""Control"", coppia senza difetti leggibili, e ora non e' poolato in nessuna meta-analisi: perdita del run nuovo."
GSE263134,A,lo studio entra o esce dal pooling,"USCITO. Nel riferimento 'HCC (HCC patient 1)' contro 'Adjacent normal tissue (HCC patient 1)': appaiamento DENTRO lo stesso paziente, il migliore possibile per questo disegno."
GSE263180,C,solo la formulazione dell etichetta cambia,"'Healthy Control (No Treatment)' contro 'Healthy Control (None)': stesso braccio, sola riformulazione."
GSE264144,C,solo la formulazione dell etichetta cambia,"Sola riformulazione con dose: '... 5-FU, 100mg/kg' vs '... PBS' contro '... treated with 5-FU' vs '... treated with PBS'."
GSE264288,C,l appaiamento del braccio di controllo cambia,"Stessi tre confronti appaiati per genotipo (wild-type, CRISPLD2 knockdown, CRISPLD2 up-regulate) contro il rispettivo veicolo in entrambi i run."
GSE264621,B,lo studio entra o esce dal pooling,Entrato: nel riferimento non era poolato. 'Pituitary adenoma' vs 'Healthy pituitary' e' un caso-controllo pulito sullo stesso tessuto.
GSE266011,A,altro,"Il riferimento poolava un confronto ad agente singolo e pulito ('Carfilzomib (10 nM) for 24 hours' vs 'DMSO for 24 hours'); il nuovo lo sostituisce con due confronti in combinazione. E' l'unico difetto del gruppo, ed e' il nuovo run a introdurlo."
GSE266389,C,lo studio cambia gruppo / entita,Uscito verso CHEBI:230500. 'JQ1 1uM 16h' vs 'DMSO 0.1% 16h' e' pulito e appaiato in entrambe le esecuzioni; l'etichetta non dice se CHEBI:230500 sia una seconda scheda della stessa molecola (frammentazione) o un'altra entita'.
GSE266932,A,l appaiamento del braccio di controllo cambia,"Il riferimento aveva in piu' ""PDX1526 model treated with Fulvestrant for 28 days"" vs ""PDX1526 model treated with Vehicle (DMSO) for 28 days"", appaiato anche sulla durata: il nuovo perde un confronto pulito."
GSE267150,C,solo la formulazione dell etichetta cambia,Sola riformulazione: il genotipo MDM2 W329G resta su entrambi i bracci in entrambe le esecuzioni.
GSE267662,A,lo studio entra o esce dal pooling,"Uscito. Nel riferimento ""Hypoxia-treated HUVEC"" contro ""Normal HUVEC"": stesso materiale, perdita netta."
GSE268499,C,altro,"Ora due confronti ('COPD case 1', 'case 2' contro 'Healthy control'), nel riferimento uno solo col materiale dichiarato ('COPD PBMCs' contro 'Healthy PBMCs'). Nessuno dei due mostra un disallineamento; la nuova etichetta e' solo meno informativa."
GSE269441,B,lo studio entra o esce dal pooling,"ENTRATO con ""EGF stimulated"" vs ""Vehicle control"", confronto appaiato che il riferimento non poolava."
GSE269699,C,il tempo o la dose vengono dichiarati o persi,"Le due esecuzioni poolano lo STESSO confronto: il vecchio ne rendeva leggibile il difetto (Donor 1 contro Donor 2), il nuovo lo nasconde. Nessuna delle due assegnazioni e' migliore dell'altra; cambia solo la verificabilita'."
GSE272030,B,lo studio entra o esce dal pooling,"ENTRATO con coppia pulita ('Microglia-like cells, LPS' vs '... No Treatment')."
GSE49159,C,l appaiamento del braccio di controllo cambia,"Ora 'Donor A, TGFbeta' contro 'Donor A, untreated' (appaiamento per donatore leggibile); nel riferimento 'TGFbeta' contro 'Control (skin)', dove l'appaiamento non era verificabile ma nemmeno contraddetto."
GSE52778,C,solo la formulazione dell etichetta cambia,"Stessa coppia in entrambe, con l'identica dicitura «and ERCC mix» sul trattato: nessuna delle due esecuzioni e' migliore dell'altra."
GSE52946,C,solo la formulazione dell etichetta cambia,"Stesso contrasto con etichetta piu' esplicita su entrambi i lati (""untreated"" aggiunto a trattato e controllo)."
GSE55727,B,lo studio entra o esce dal pooling,"ENTRATO con 'GM00011 doxorubicin' contro 'GM00011 vehicle': stessa linea sui due bracci, veicolo come controllo. Il run nuovo recupera un membro legittimo che il vecchio non poolava."
GSE55922,C,solo la formulazione dell etichetta cambia,Stesso contrasto; il nuovo perde la linea nell'etichetta. Nessun disallineamento leggibile in nessuna delle due.
GSE56022,C,altro,Stesse due coppie (2h e 4h contro «Vehicle»); il nuovo aggiunge il nome della linea.
GSE56066,B,lo studio entra o esce dal pooling,"Non era poolato nel riferimento; entra con tre coppie appaiate sul contesto genetico (""MCF-7 AdERbeta+SiERalpha liquiritigenin"" vs ""MCF-7 AdERbeta+SiERalpha control""). Nessun difetto leggibile."
GSE56623,B,lo studio entra o esce dal pooling,ENTRATO con quattro confronti appaiati per linea E per tempo ('JJN3 ... 5.AZA for 24 hours' contro 'JJN3 ... Control for 24 hours'): il riferimento lo lasciava fuori.
GSE57148,C,altro,"Ora due confronti per paziente contro lo stesso 'Healthy control 1', nel riferimento uno solo col tessuto dichiarato ('COPD lung tissue (donor 4136)' contro 'Normal lung tissue (small group)'). Entrambe le letture sono caso-controllo difendibili; l'etichetta non dice quale partizione sia quella vera, e in nessuna delle due il braccio da 94 campioni e' spiegato."
GSE59066,C,solo la formulazione dell etichetta cambia,Solo la formulazione del trattato cambia (`Treated with Sutent` contro `Sutent Treated`) verso lo stesso controllo.
GSE59275,A,lo studio entra o esce dal pooling,"USCITO. ""IL-4 3h"" e ""IL-4 24h"" entrambi vs ""Control"": nessun difetto leggibile, due confronti persi."
GSE59841,A,lo studio entra o esce dal pooling,USCITO verso nessuna meta-analisi. Nel riferimento 'nutlin 10uM' contro 'DMSO': contrasto pulito e sull'entita'. Contributo corretto perso.
GSE60340,B,lo studio entra o esce dal pooling,"ENTRATO: 'H2O2 treated' vs 'Untreated control', confronto pulito che il vecchio lasciava fuori."
